Seg_ID,UP_MH,DS_MH,"Dia., Inch","Length, Ft","MWL, %","DS, % depth",Defect Bucket
1,36206,36207,42,200,95,0,1
2,36206,36207,60,200,95,0,1
3,36206,36207,60,200,95,0,1
4,36204,838,102,651,80,0,4
5,8197,36206,96,950,75,0,1
6,7683,8197,96,2200,80,0.4,4
7,7667,7683,96,500,60,0,4
8,6977,7667,84,2050,60,0,1
9,6975,6977,84,500,40,0,3
10,6972,6975,84,450,60,0,1
11,6245,6243,96,200,50,0,2
12,4256,4328,96,800,40,0,3
13,4252,4256,96,1600,30,0,4
14,2,4252,96,400,30,0,4
15,2,1.6,78,1594,10,10,10
16,3,2,78,1947,10,10,10
17,4,3,78,2006,10,10,10
18,5,4,78,1761,10,10,10
19,6,5,78,1513,10,10,10
20,7,6,78,821,10,10,10
21,8,7,78,13,10,10,10
22,9,8,78,1599,10,10,10
23,10,9,78,1997,10,10,10
24,11,10,78,1988,10,10,10
25,12,11,78,1927,40,0,4
26,13,12,78,1919,50,0,10
27,14,13,78,1569,10,10,10
28,15,14,78,1123,10,10,10
29,16,15,78,45,40,0,10
30,17,16,72,1860,40,0,5
31,18,17,78,46,45,0,2
32,19,18,84,1532,25,0,2
33,20,19,84,40,30,0,2
34,21,20,84,1368,40,0,2
35,22,21,84,2000,10,10,10
36,23,22,84,1974,40,0.1,4
37,24,23,84,2031,40,0,2
38,25,24,84,1986,45,0,2
39,26,25,84,2177,40,0,2
40,27,26,84,2100,30,0,3
41,28,27,84,8835,10,10,10
42,29,28,78,3310,20,0,4
43,30,29,78,1028,20,0,2
44,31,30,84,5301,40,0,4
45,32,31,66,1674,40,0,2
46,33,32,66,2010,40,0,2
47,34,33,66,2024,40,0,2
48,35,34,66,1900,40,0,2
49,36,35,66,1780,40,0,2
50,37,36,66,2146,40,0,2
51,38,37,72,1433,40,0,2
52,39,38,72,3384,40,0,2
53,40,39,72,583,30,0,2
54,41,40,72,1637,35,0.02,2
55,42,41,72,1967,40,0,3
56,43,42,72,1954,35,0,2
57,44,43,72,1779,35,0,2
58,45,44,72,1921,45,0,2
59,46,45,72,1757,50,0.02,2
60,47,46,72,1800,40,0.04,2
61,48,47,72,1982,50,0,2
62,49,48,72,1982,30,0.07,3
63,50,49,72,1973,25,0,3
64,51,50,72,1196,25,0,2
65,52,51,66,1463,25,0,2
66,53,52,66,1568,25,0,2
67,53.8,53,66,3143,25,0.03,2
68,54,53.8,66,1970,30,0.02,2
69,55,54,66,2470,30,0,2
70,56,55,54,1289,40,0,2
71,57,56,54,1303,45,0,2
72,58,57,54,1180,40,0,4
73,58.33,58,48,385,40,0,2
74,59,58.33,48,596,40,0,2
75,60,59,48,990,45,0,2
76,61,60,48,985,40,0,2
77,62,61,48,907,40,0,2
78,63,62,48,991,40,0,2
79,64,63,48,989,40,0,3
80,65,64,48,878,40,0,2
81,66,65,48,895,50,0,2
82,67,66,48,909,40,0,2
83,68,67,48,934,40,0,2
84,68.8,68,48,92,40,0,2
85,68.81,68.8,48,372,40,0,2
86,69,68.81,48,450,40,0,2
87,70,69,48,981,40,0,2
88,70.33,70,48,566,35,0,2
89,70.8,70.33,48,344,35,0,2
90,71,70.8,48,13,35,0,2
91,72,71,48,1003,35,0.08,3
92,73,72,42,481,35,0,4
93,73.8,73,40,45,45,0.06,3
94,74,73.8,40,543,50,0.16,4
95,75,74,42,980,30,0,2
96,76,75,42,990,30,0,2
97,77,76,42,492,30,0,3
98,78,77,42,578,30,0,2
99,79,78,42,591,30,0,2
100,80,79,42,494,30,0,2
101,80.2,80.83,24,179,25,0.04,2
102,80.8,80,24,496,15,0,1
103,80.81,80.8,24,501,15,0,1
104,80.82,80.81,24,257,15,0,1
105,80.83,80.82,24,450,10,0.04,2
106,81,80,42,599,30,0,2
107,82,81,42,502,30,0,2
108,83,82,42,590,30,0.11,4
109,84,83,36,488,30,0.25,4
110,85,84,36,496,30,0,2
111,86,85,36,498,30,0,2
112,87,86,36,383,40,0.25,4
113,88,87,36,501,30,0.08,3
114,89,88,36,501,30,0,2
115,90,89,36,487,30,0,2
116,91,90,36,495,30,0,2
117,92,91,36,495,30,0,2
118,93,92,30,476,30,0,2
119,94,93,30,351,30,0,2
120,95,94,30,331,30,0,2
121,96,95,36,490,30,0,2
122,97,96,36,500,30,0,2
123,98,97,36,501,30,0.09,3
124,99,98,36,493,30,0,2
125,100,99,36,488,30,0,3
126,101,100,36,502,25,0,3
127,102,101,36,429,35,0,2
128,103,102,36,173,35,0,2
129,103.2,103.81,24,252,15,0.12,4
130,103.8,103,24,135,15,0,1
131,103.81,103.8,24,431,15,0.12,4
132,104,103,30,375,40,0,2
133,105,104,30,445,40,0,2
134,106,105,30,525,40,0,2
135,107,107.8,30,11,50,0.12,4
136,107.2,107.84,30,195,20,0,1
137,107.8,106,30,266,50,0.09,3
138,107.81,107.8,30,462,40,0,1
139,111,110,30,494,25,0,2
140,107.82,107.81,30,390,25,0,1
141,112,111,30,495,25,0.01,2
142,107.83,107.82,30,35,25,0,1
143,113,112,30,496,25,0,2
144,107.84,107.83,30,313,25,0,1
145,114,113,30,496,25,0,2
146,107,108,30,20,20,0,3
147,115,114,30,483,25,0.04,2
148,108,106,30,300,20,0,3
149,115.8,115,30,283,25,0,2
150,108,107,30,445,55,0,2
151,116,115.8,30,209,25,0,2
152,109,108,30,304,55,0,2
153,117,116,30,496,25,0.02,2
154,110,109,30,353,25,0,2
155,118.2,117,30,444,55,0.12,4
156,224,223,42,486,40,0,2
157,223,222,42,447,30,0,2
158,222,221,42,600,50,0,3
159,221,220,42,749,50,0,3
160,220,219,42,454,50,0,3
